['COUNTER', 'AF3', 'F7', 'F3', 'FC5', 'T7', 'P7', 'O1', 'O2', 'P8', 'T8', 'FC6', 'F4', 'F8', 'AF4', 'GYROX', 'GYROY', 'TIMESTAMP', 'FUNC_ID', 'FUNC_VALUE', 'MARKER', 'SYNC_SIGNAL']
20.0 , 4109.74358974 , 4353.33333333 , 3848.20512821 , 4201.53846154 , 4178.97435897 , 4048.71794872 , 4478.46153846 , 4030.25641026 , 4374.87179487 , 4230.76923077 , 4376.92307692 , 4204.61538462 , 4244.1025641 , 4174.35897436 , 1681.0 , 1744.0 , 21.738 , 0.0 , 0.0 , 0.0 , 0.0 , 

21.0 , 4091.28205128 , 4365.64102564 , 3851.28205128 , 4208.20512821 , 4188.71794872 , 4053.84615385 , 4490.76923077 , 4031.28205128 , 4428.20512821 , 4230.76923077 , 4386.66666667 , 4213.84615385 , 4247.69230769 , 4150.76923077 , 1680.0 , 1744.0 , 21.746 , 0.0 , 0.0 , 0.0 , 0.0 , 

22.0 , 4094.35897436 , 4358.97435897 , 3835.8974359 , 4202.56410256 , 4178.97435897 , 4051.79487179 , 4478.97435897 , 4031.28205128 , 4386.15384615 , 4227.17948718 , 4365.12820513 , 4163.07692308 , 4247.17948718 , 4132.30769231 , 1681.0 , 1745.0 , 21.754 , 0.0 , 0.0 , 0.0 , 0.0 , 

23.0 , 4111.79487179 , 4354.35897436 , 3851.28205128 , 4206.15384615 , 4183.58974359 , 4043.58974359 , 4485.12820513 , 4028.20512821 , 4304.1025641 , 4229.23076923 , 4318.97435897 , 4092.30769231 , 4247.17948718 , 4139.48717949 , 1681.0 , 1744.0 , 21.761 , 0.0 , 0.0 , 0.0 , 0.0 , 

24.0 , 4090.76923077 , 4360.51282051 , 3849.74358974 , 4207.69230769 , 4187.69230769 , 4050.25641026 , 4489.23076923 , 4031.79487179 , 4294.35897436 , 4231.79487179 , 4329.23076923 , 4131.28205128 , 4251.79487179 , 4176.41025641 , 1680.0 , 1745.0 , 21.769 , 0.0 , 0.0 , 0.0 , 0.0 , 

25.0 , 4083.07692308 , 4354.87179487 , 3839.48717949 , 4201.53846154 , 4186.15384615 , 4069.74358974 , 4483.07692308 , 4033.33333333 , 4351.28205128 , 4229.23076923 , 4354.87179487 , 4185.64102564 , 4228.20512821 , 4174.35897436 , 1681.0 , 1744.0 , 21.777 , 0.0 , 0.0 , 0.0 , 0.0 , 

26.0 , 4116.92307692 , 4361.02564103 , 3854.35897436 , 4204.1025641 , 4185.12820513 , 4055.38461538 , 4488.20512821 , 4034.87179487 , 4393.84615385 , 4229.74358974 , 4340.51282051 , 4180.51282051 , 4224.61538462 , 4160.0 , 1680.0 , 1744.0 , 21.785 , 0.0 , 0.0 , 0.0 , 0.0 , 

