Counter	AF3	F7	F3	FC5	T7	P7	O1	O2	P8	T8	FC6	F4	F8	AF4	GyroX	GyroY	Timestamp	FUNC_ID	FUNC_VALUE	MARKER	SYNC_SIGNAL	CMS_Q	DRL_Q	AF3_Q	F7_Q	F3_Q	FC5_Q	T7_Q	P7_Q	O1_Q	O2_Q	P8_Q	T8_Q	FC6_Q	F4_Q	F8_Q	AF4_Q
6.000000	4356.410256	4386.666667	4409.230769	3716.410256	4382.564103	4611.794872	4633.333333	4522.564103	4027.179487	4104.615385	4515.897436	4441.538462	4268.205128	3962.564103	1734.000000	1677.000000	40.293000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7.000000	4357.948718	4388.717949	4408.717949	3714.358974	4382.051282	4612.307692	4632.307692	4525.128205	4027.692308	4103.076923	4518.461538	4438.974359	4267.179487	3961.538462	1733.000000	1678.000000	40.309000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8.000000	4356.923077	4389.230769	4410.256410	3713.333333	4384.102564	4611.282051	4628.717949	4524.615385	4029.230769	4102.564103	4517.948718	4439.487179	4266.153846	3961.025641	1734.000000	1677.000000	40.309000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9.000000	4356.410256	4386.666667	4409.743590	3713.846154	4384.615385	4611.282051	4629.743590	4524.102564	4025.641026	4103.589744	4515.897436	4438.974359	4266.153846	3963.589744	1733.000000	1678.000000	40.325000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10.000000	4357.948718	4386.153846	4407.692308	3712.820513	4381.538462	4611.282051	4630.256410	4524.615385	4019.487179	4104.615385	4515.897436	4437.435897	4266.666667	3961.538462	1735.000000	1678.000000	40.325000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11.000000	4360.000000	4385.641026	4407.692308	3712.820513	4380.000000	4610.769231	4627.692308	4523.589744	4022.564103	4102.051282	4517.435897	4440.000000	4267.179487	3960.000000	1734.000000	1677.000000	40.340000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12.000000	4358.974359	4387.692308	4409.230769	3712.820513	4383.589744	4610.769231	4627.692308	4524.615385	4025.641026	4097.948718	4517.948718	4443.589744	4267.179487	3957.435897	1734.000000	1678.000000	40.340000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13.000000	4357.435897	4389.230769	4407.179487	3712.820513	4384.615385	4609.230769	4630.256410	4526.666667	4024.102564	4099.487179	4520.000000	4440.512821	4268.205128	3960.512821	1734.000000	1677.000000	40.356000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14.000000	4358.974359	4387.179487	4406.153846	3712.820513	4383.076923	4610.769231	4630.256410	4526.153846	4028.205128	4104.102564	4518.974359	4437.948718	4269.743590	3963.076923	1734.000000	1677.000000	40.356000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15.000000	4358.974359	4387.692308	4407.692308	3713.333333	4383.589744	4611.794872	4628.205128	4523.076923	4030.769231	4103.589744	4518.461538	4440.512821	4269.743590	3962.564103	1734.000000	1677.000000	40.372000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16.000000	4356.923077	4389.743590	4408.717949	3712.820513	4384.102564	4610.769231	4629.230769	4526.153846	4028.205128	4103.076923	4516.410256	4443.076923	4269.230769	3960.512821	1734.000000	1677.000000	40.372000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17.000000	4358.461538	4389.743590	4408.205128	3712.820513	4383.589744	4609.743590	4632.820513	4528.717949	4028.717949	4104.102564	4515.384615	4438.974359	4268.717949	3961.538462	1734.000000	1677.000000	40.387000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18.000000	4356.923077	4389.230769	4409.230769	3713.333333	4384.102564	4610.256410	4633.333333	4524.615385	4028.205128	4103.589744	4515.384615	4436.923077	4266.666667	3962.564103	1735.000000	1677.000000	40.387000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19.000000	4357.435897	4389.230769	4408.717949	3714.871795	4384.102564	4611.794872	4630.769231	4520.512821	4025.641026	4102.564103	4517.435897	4441.538462	4265.641026	3961.538462	1734.000000	1678.000000	40.408000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20.000000	4361.025641	4389.230769	4408.205128	3713.846154	4382.564103	4613.333333	4631.794872	4525.128205	4025.128205	4103.076923	4517.948718	4442.051282	4265.641026	3958.974359	1734.000000	1677.000000	40.408000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21.000000	4361.538462	4388.717949	4407.692308	3712.307692	4383.589744	4611.794872	4633.846154	4528.205128	4025.641026	4103.076923	4518.461538	4437.948718	4266.666667	3957.948718	1734.000000	1677.000000	40.423000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22.000000	4358.974359	4387.179487	4405.641026	3712.820513	4384.615385	4609.230769	4629.230769	4525.128205	4025.641026	4102.564103	4518.974359	4437.948718	4266.153846	3960.000000	1735.000000	1677.000000	40.423000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23.000000	4358.974359	4386.666667	4406.666667	3711.794872	4382.051282	4610.256410	4625.641026	4524.615385	4027.692308	4098.974359	4516.410256	4440.512821	4264.102564	3961.025641	1733.000000	1677.000000	40.439000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24.000000	4360.000000	4389.743590	4409.743590	3710.769231	4382.051282	4610.769231	4629.230769	4526.153846	4028.717949	4096.923077	4515.897436	4442.051282	4266.153846	3961.025641	1735.000000	1678.000000	40.439000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
25.000000	4360.000000	4389.230769	4410.769231	3711.794872	4385.641026	4610.256410	4631.794872	4526.153846	4025.128205	4097.435897	4516.410256	4441.538462	4269.230769	3959.487179	1734.000000	1676.000000	40.455000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26.000000	4358.461538	4386.666667	4408.205128	3712.820513	4384.102564	4612.307692	4629.743590	4525.128205	4024.102564	4095.897436	4516.923077	4437.948718	4269.230769	3960.512821	1734.000000	1678.000000	40.455000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
27.000000	4354.871795	4387.692308	4406.153846	3711.794872	4380.000000	4612.820513	4633.333333	4523.589744	4029.230769	4097.948718	4515.897436	4437.435897	4267.179487	3959.487179	1735.000000	1676.000000	40.470000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28.000000	4357.435897	4388.205128	4405.128205	3712.820513	4382.051282	4609.230769	4635.897436	4523.589744	4030.256410	4102.051282	4516.410256	4438.974359	4267.692308	3961.538462	1733.000000	1677.000000	40.470000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29.000000	4361.025641	4386.153846	4406.153846	3715.384615	4383.589744	4608.717949	4630.256410	4523.589744	4023.076923	4100.512821	4517.435897	4440.512821	4268.205128	3960.512821	1734.000000	1678.000000	40.486000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
30.000000	4360.512821	4386.666667	4408.717949	3714.871795	4381.538462	4611.794872	4628.205128	4524.102564	4020.512821	4100.000000	4516.923077	4440.000000	4268.205128	3957.435897	1734.000000	1677.000000	40.486000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
31.000000	4358.974359	4387.692308	4411.282051	3711.794872	4382.051282	4611.794872	4633.846154	4527.179487	4029.230769	4104.102564	4515.897436	4440.000000	4268.717949	3957.948718	1735.000000	1677.000000	40.501000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
32.000000	4359.487179	4387.692308	4410.256410	3711.794872	4384.102564	4610.769231	4632.820513	4526.666667	4030.256410	4104.615385	4515.897436	4439.487179	4267.692308	3963.076923	1734.000000	1677.000000	40.501000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
33.000000	4357.435897	4387.692308	4408.205128	3713.846154	4383.076923	4611.282051	4627.179487	4523.589744	4022.564103	4103.076923	4515.897436	4441.538462	4267.179487	3958.974359	1735.000000	1678.000000	40.517000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
34.000000	4356.410256	4388.205128	4407.179487	3713.333333	4382.051282	4610.769231	4628.205128	4526.153846	4020.512821	4105.128205	4517.948718	4443.589744	4267.179487	3956.410256	1734.000000	1677.000000	40.522000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
35.000000	4358.461538	4387.692308	4408.205128	3711.282051	4382.051282	4610.769231	4630.769231	4525.128205	4023.589744	4103.076923	4518.974359	4442.051282	4266.666667	3961.025641	1734.000000	1678.000000	40.522000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
36.000000	4358.974359	4390.256410	4408.717949	3712.307692	4382.051282	4612.820513	4629.743590	4521.025641	4023.076923	4097.948718	4516.410256	4441.025641	4267.692308	3962.564103	1733.000000	1677.000000	40.537000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
37.000000	4357.948718	4389.230769	4410.769231	3713.333333	4383.076923	4612.307692	4630.769231	4525.641026	4025.641026	4098.461538	4516.410256	4441.025641	4266.153846	3960.000000	1734.000000	1678.000000	40.537000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
38.000000	4357.948718	4385.128205	4411.794872	3711.282051	4383.589744	4610.769231	4632.820513	4530.256410	4030.769231	4099.487179	4517.435897	4440.000000	4265.641026	3961.538462	1735.000000	1677.000000	40.553000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
39.000000	4359.487179	4387.179487	4409.743590	3708.205128	4382.051282	4612.307692	4631.282051	4525.128205	4028.717949	4097.948718	4517.948718	4438.974359	4267.179487	3963.076923	1733.000000	1678.000000	40.553000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
40.000000	4357.435897	4390.769231	4409.230769	3710.256410	4382.051282	4612.307692	4632.307692	4521.025641	4024.102564	4098.461538	4517.435897	4440.512821	4267.179487	3960.000000	1735.000000	1677.000000	40.568000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
41.000000	4355.897436	4389.230769	4409.230769	3712.820513	4383.076923	4610.256410	4633.333333	4526.153846	4022.051282	4103.076923	4519.487179	4440.000000	4266.153846	3960.000000	1734.000000	1677.000000	40.568000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
42.000000	4357.435897	4388.205128	4410.256410	3710.769231	4381.538462	4610.769231	4632.820513	4527.692308	4022.564103	4106.666667	4518.461538	4439.487179	4268.717949	3958.974359	1735.000000	1678.000000	40.584000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
43.000000	4357.948718	4389.230769	4408.205128	3709.743590	4382.051282	4612.307692	4631.794872	4523.589744	4024.615385	4102.564103	4517.948718	4438.461538	4269.230769	3960.512821	1734.000000	1677.000000	40.584000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
44.000000	4356.923077	4387.179487	4407.179487	3712.820513	4383.076923	4611.282051	4629.230769	4523.076923	4024.102564	4098.974359	4518.461538	4439.487179	4266.666667	3958.974359	1734.000000	1677.000000	40.600000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45.000000	4358.974359	4387.692308	4409.230769	3714.358974	4382.051282	4610.769231	4627.692308	4526.666667	4023.589744	4101.025641	4517.435897	4441.538462	4267.179487	3956.923077	1734.000000	1677.000000	40.600000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
46.000000	4360.512821	4388.717949	4409.743590	3711.794872	4382.051282	4612.307692	4629.230769	4527.179487	4024.102564	4100.512821	4516.410256	4442.564103	4267.179487	3956.923077	1734.000000	1678.000000	40.615000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
47.000000	4360.512821	4387.179487	4405.128205	3712.820513	4383.589744	4612.307692	4628.717949	4525.128205	4025.128205	4098.974359	4516.410256	4441.025641	4264.615385	3961.025641	1734.000000	1677.000000	40.615000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
48.000000	4360.000000	4385.128205	4404.615385	3714.358974	4383.076923	4611.282051	4627.692308	4525.128205	4028.717949	4103.589744	4516.923077	4441.025641	4266.666667	3958.974359	1734.000000	1678.000000	40.635000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
49.000000	4358.461538	4385.641026	4408.205128	3713.333333	4381.538462	4612.820513	4630.769231	4526.153846	4030.256410	4104.615385	4518.461538	4442.051282	4269.743590	3956.410256	1735.000000	1677.000000	40.636000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
50.000000	4356.923077	4385.641026	4409.743590	3712.307692	4382.051282	4613.846154	4633.333333	4526.153846	4025.128205	4100.000000	4517.435897	4442.564103	4270.256410	3956.410256	1733.000000	1677.000000	40.651000	0.000000	0.000000	0.000000	0.000000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
51.000000	4358.974359	4386.666667	4408.205128	3713.846154	4384.615385	4612.307692	4631.282051	4525.641026	4023.076923	4101.025641	4516.923077	4441.538462	4270.256410	3959.487179	1735.000000	1677.000000	40.651000	0.000000	0.000000	0.000000	0.000000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
52.000000	4360.000000	4389.743590	4409.743590	3715.897436	4383.076923	4611.794872	4631.794872	4526.666667	4026.153846	4102.564103	4518.461538	4439.487179	4270.769231	3961.538462	1734.000000	1677.000000	40.651000	0.000000	0.000000	0.000000	0.000000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
53.000000	4357.948718	4389.230769	4412.307692	3714.871795	4381.025641	4611.282051	4632.307692	4525.641026	4026.666667	4100.512821	4520.000000	4439.487179	4269.230769	3961.025641	1735.000000	1677.000000	40.667000	0.000000	0.000000	0.000000	0.000000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
54.000000	4357.948718	4386.153846	4411.794872	3712.307692	4383.076923	4610.256410	4630.256410	4524.615385	4024.102564	4102.564103	4518.461538	4442.051282	4268.717949	3958.461538	1734.000000	1677.000000	40.667000	0.000000	0.000000	0.000000	0.000000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
55.000000	4360.000000	4387.692308	4408.717949	3710.256410	4384.102564	4609.743590	4630.256410	4527.179487	4020.512821	4105.128205	4516.410256	4443.589744	4270.769231	3958.974359	1733.000000	1678.000000	40.683000	0.000000	0.000000	0.000000	0.000000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
56.000000	4359.487179	4390.769231	4408.717949	3712.307692	4382.051282	4609.230769	4630.769231	4526.153846	4025.128205	4103.589744	4515.384615	4441.025641	4269.230769	3961.538462	1735.000000	1677.000000	40.698000	0.000000	0.000000	0.000000	0.000000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
57.000000	4358.461538	4387.692308	4410.256410	3712.307692	4382.051282	4609.230769	4628.717949	4521.025641	4028.717949	4104.102564	4515.897436	4440.000000	4266.153846	3959.487179	1734.000000	1677.000000	40.698000	0.000000	0.000000	0.000000	0.000000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
58.000000	4361.538462	4387.179487	4406.666667	3712.307692	4383.076923	4610.256410	4628.717949	4522.564103	4022.051282	4104.615385	4517.948718	4441.538462	4267.179487	3958.461538	1734.000000	1677.000000	40.698000	0.000000	0.000000	0.000000	0.000000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
59.000000	4361.538462	4390.769231	4403.589744	3711.794872	4383.076923	4611.794872	4631.794872	4528.717949	4020.512821	4101.025641	4516.410256	4441.538462	4268.205128	3958.974359	1734.000000	1678.000000	40.714000	0.000000	0.000000	0.000000	0.000000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
60.000000	4359.487179	4388.717949	4406.666667	3711.282051	4384.102564	4611.282051	4631.794872	4528.205128	4028.205128	4097.948718	4515.897436	4438.461538	4269.230769	3959.487179	1735.000000	1677.000000	40.714000	0.000000	0.000000	0.000000	0.000000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
61.000000	4358.461538	4385.128205	4408.205128	3712.820513	4384.102564	4610.769231	4628.717949	4524.615385	4030.769231	4098.461538	4517.435897	4438.461538	4268.717949	3960.000000	1733.000000	1677.000000	40.729000	0.000000	0.000000	0.000000	0.000000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
62.000000	4358.974359	4387.692308	4406.666667	3715.384615	4383.076923	4612.307692	4627.179487	4524.615385	4028.205128	4102.564103	4517.948718	4438.974359	4268.717949	3963.589744	1735.000000	1678.000000	40.745000	0.000000	0.000000	0.000000	0.000000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
63.000000	4358.461538	4388.717949	4408.205128	3716.923077	4384.615385	4613.333333	4631.282051	4527.692308	4025.128205	4104.615385	4515.384615	4438.974359	4268.717949	3959.487179	1734.000000	1677.000000	40.750000	0.000000	0.000000	0.000000	0.000000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
64.000000	4358.974359	4387.179487	4410.256410	3715.384615	4384.102564	4610.256410	4634.871795	4525.641026	4021.538462	4105.128205	4515.384615	4440.512821	4268.205128	3955.897436	1733.000000	1678.000000	40.750000	0.000000	0.000000	0.000000	0.000000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
65.000000	4359.487179	4385.641026	4409.230769	3712.307692	4382.564103	4608.717949	4631.794872	4522.564103	4022.051282	4104.102564	4516.410256	4442.564103	4266.153846	3957.435897	1734.000000	1677.000000	40.766000	0.000000	0.000000	0.000000	0.000000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
66.000000	4359.487179	4386.153846	4409.230769	3710.769231	4382.564103	4611.282051	4630.256410	4524.615385	4021.025641	4104.102564	4516.410256	4441.538462	4266.666667	3960.000000	1734.000000	1678.000000	40.766000	0.000000	0.000000	0.000000	0.000000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
67.000000	4358.974359	4388.717949	4409.743590	3714.358974	4382.051282	4611.794872	4630.769231	4526.153846	4019.487179	4104.102564	4516.923077	4441.025641	4266.666667	3958.974359	1734.000000	1677.000000	40.781000	0.000000	0.000000	0.000000	0.000000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
68.000000	4359.487179	4390.256410	4407.179487	3716.923077	4381.025641	4611.282051	4629.230769	4523.076923	4024.615385	4100.512821	4516.410256	4441.025641	4265.128205	3960.000000	1734.000000	1678.000000	40.781000	0.000000	0.000000	0.000000	0.000000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
69.000000	4360.000000	4389.230769	4408.717949	3712.307692	4382.564103	4612.820513	4629.743590	4522.564103	4029.743590	4097.435897	4515.897436	4442.564103	4268.717949	3961.025641	1735.000000	1677.000000	40.797000	0.000000	0.000000	0.000000	0.000000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
70.000000	4359.487179	4388.205128	4410.256410	3710.256410	4382.564103	4612.307692	4631.282051	4526.666667	4030.769231	4100.512821	4516.923077	4441.025641	4270.256410	3961.538462	1734.000000	1677.000000	40.797000	0.000000	0.000000	0.000000	0.000000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
