Counter	AF3	F7	F3	FC5	T7	P7	O1	O2	P8	T8	FC6	F4	F8	AF4	GyroX	GyroY	Timestamp	FUNC_ID	FUNC_VALUE	MARKER	SYNC_SIGNAL	CMS_Q	DRL_Q	AF3_Q	F7_Q	F3_Q	FC5_Q	T7_Q	P7_Q	O1_Q	O2_Q	P8_Q	T8_Q	FC6_Q	F4_Q	F8_Q	AF4_Q
63.000000	4353.846154	4390.769231	4403.589744	3714.358974	4376.923077	4610.256410	4629.230769	4522.564103	4021.538462	4102.051282	4512.307692	4440.512821	4266.153846	3953.333333	1720.000000	1673.000000	21.756000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
64.000000	4355.897436	4388.717949	4402.564103	3714.358974	4378.461538	4611.794872	4628.717949	4522.051282	4022.051282	4106.153846	4512.307692	4441.538462	4267.692308	3955.384615	1719.000000	1672.000000	21.776000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
65.000000	4358.461538	4388.717949	4409.230769	3714.358974	4377.435897	4613.333333	4627.179487	4523.589744	4022.051282	4101.538462	4514.871795	4442.564103	4269.743590	3954.871795	1721.000000	1673.000000	21.776000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
66.000000	4354.358974	4390.256410	4411.282051	3715.384615	4373.846154	4609.230769	4626.153846	4526.153846	4022.051282	4101.025641	4514.871795	4442.051282	4268.205128	3955.897436	1722.000000	1672.000000	21.792000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
67.000000	4351.282051	4390.769231	4405.128205	3713.333333	4373.333333	4607.179487	4627.692308	4526.153846	4023.589744	4104.102564	4513.333333	4441.025641	4266.153846	3958.461538	1723.000000	1672.000000	21.792000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
68.000000	4354.871795	4389.743590	4404.102564	3710.769231	4375.384615	4608.205128	4627.692308	4524.102564	4024.102564	4100.512821	4514.871795	4443.076923	4269.743590	3958.461538	1723.000000	1671.000000	21.807000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
69.000000	4354.871795	4389.230769	4405.641026	3710.769231	4375.384615	4609.230769	4627.179487	4523.589744	4024.102564	4099.487179	4516.410256	4445.128205	4271.794872	3955.897436	1724.000000	1671.000000	21.807000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
70.000000	4354.871795	4389.743590	4402.564103	3713.333333	4374.358974	4610.769231	4628.205128	4524.615385	4024.102564	4105.641026	4516.923077	4442.564103	4270.256410	3955.384615	1724.000000	1671.000000	21.839000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
71.000000	4356.923077	4388.717949	4401.538462	3713.333333	4375.384615	4611.282051	4626.153846	4523.589744	4022.564103	4105.128205	4516.410256	4443.076923	4270.256410	3957.435897	1722.000000	1672.000000	21.839000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
72.000000	4357.948718	4388.717949	4403.589744	3712.820513	4374.358974	4609.743590	4622.051282	4522.564103	4022.564103	4101.025641	4514.871795	4446.666667	4272.307692	3959.487179	1720.000000	1672.000000	21.839000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
73.000000	4356.923077	4391.282051	4403.589744	3711.794872	4372.307692	4607.179487	4620.512821	4523.076923	4023.076923	4104.102564	4513.846154	4444.615385	4272.307692	3959.487179	1719.000000	1673.000000	21.839000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
74.000000	4354.871795	4391.794872	4404.615385	3711.282051	4373.846154	4607.692308	4623.076923	4526.153846	4023.076923	4106.666667	4515.384615	4442.564103	4272.307692	3957.435897	1718.000000	1674.000000	21.854000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
75.000000	4353.333333	4389.230769	4405.641026	3710.769231	4375.897436	4610.769231	4624.615385	4526.666667	4024.615385	4102.564103	4514.871795	4443.589744	4270.769231	3956.410256	1718.000000	1675.000000	21.854000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
