['COUNTER', 'AF3', 'F7', 'F3', 'FC5', 'T7', 'P7', 'O1', 'O2', 'P8', 'T8', 'FC6', 'F4', 'F8', 'AF4', 'GYROX', 'GYROY', 'TIMESTAMP', 'FUNC_ID', 'FUNC_VALUE', 'MARKER', 'SYNC_SIGNAL']
20.0 , 4489.23076923 , 3996.41025641 , 4335.8974359 , 4347.69230769 , 4320.0 , 4029.23076923 , 4192.82051282 , 4117.43589744 , 4251.28205128 , 4519.48717949 , 4380.51282051 , 3871.79487179 , 4373.84615385 , 4030.25641026 , 1834.0 , 1734.0 , 4.094 , 0.0 , 0.0 , 0.0 , 0.0 , 

21.0 , 4486.15384615 , 3986.15384615 , 4329.23076923 , 4297.43589744 , 4372.30769231 , 4027.17948718 , 4211.28205128 , 4104.1025641 , 4245.12820513 , 4516.41025641 , 4389.23076923 , 3867.69230769 , 4372.30769231 , 4016.41025641 , 1838.0 , 1742.0 , 4.102 , 0.0 , 0.0 , 0.0 , 0.0 , 

22.0 , 4501.02564103 , 4007.17948718 , 4276.92307692 , 4257.94871795 , 4243.58974359 , 3998.97435897 , 4161.53846154 , 4098.97435897 , 4249.23076923 , 4521.53846154 , 4403.58974359 , 3848.71794872 , 4366.66666667 , 4006.66666667 , 1835.0 , 1750.0 , 4.11 , 0.0 , 0.0 , 0.0 , 0.0 , 

23.0 , 4497.43589744 , 4014.35897436 , 4289.74358974 , 4322.56410256 , 4148.71794872 , 3981.53846154 , 4133.33333333 , 4106.66666667 , 4251.79487179 , 4527.17948718 , 4382.05128205 , 3840.51282051 , 4365.64102564 , 4043.58974359 , 1824.0 , 1756.0 , 4.117 , 0.0 , 0.0 , 0.0 , 0.0 , 

24.0 , 4460.51282051 , 3954.35897436 , 4303.07692308 , 4366.66666667 , 4161.02564103 , 3954.35897436 , 4131.79487179 , 4115.8974359 , 4242.05128205 , 4522.05128205 , 4346.66666667 , 3844.61538462 , 4365.12820513 , 4057.43589744 , 1812.0 , 1760.0 , 4.125 , 0.0 , 0.0 , 0.0 , 0.0 , 

25.0 , 4403.58974359 , 3846.66666667 , 4267.17948718 , 4325.12820513 , 4160.51282051 , 3889.23076923 , 4110.76923077 , 4086.66666667 , 4226.15384615 , 4517.94871795 , 4341.02564103 , 3831.28205128 , 4357.43589744 , 4020.0 , 1798.0 , 1760.0 , 4.133 , 0.0 , 0.0 , 0.0 , 0.0 , 

26.0 , 4374.35897436 , 3821.53846154 , 4292.30769231 , 4337.43589744 , 4174.87179487 , 3870.76923077 , 4121.02564103 , 4062.56410256 , 4229.23076923 , 4523.07692308 , 4346.66666667 , 3826.66666667 , 4350.25641026 , 4015.8974359 , 1782.0 , 1762.0 , 4.141 , 0.0 , 0.0 , 0.0 , 0.0 , 

27.0 , 4408.20512821 , 3894.87179487 , 4334.35897436 , 4390.25641026 , 4211.79487179 , 3924.61538462 , 4155.8974359 , 4100.0 , 4251.28205128 , 4525.12820513 , 4345.12820513 , 3851.28205128 , 4356.92307692 , 4045.12820513 , 1769.0 , 1762.0 , 4.149 , 0.0 , 0.0 , 0.0 , 0.0 , 

28.0 , 4458.46153846 , 3936.92307692 , 4309.23076923 , 4375.38461538 , 4186.15384615 , 3957.43589744 , 4159.48717949 , 4148.71794872 , 4259.48717949 , 4520.51282051 , 4349.74358974 , 3880.0 , 4369.74358974 , 4043.07692308 , 1756.0 , 1763.0 , 4.157 , 0.0 , 0.0 , 0.0 , 0.0 , 

29.0 , 4491.79487179 , 3952.30769231 , 4293.33333333 , 4344.61538462 , 4170.76923077 , 3995.38461538 , 4165.12820513 , 4136.41025641 , 4254.87179487 , 4518.97435897 , 4352.82051282 , 3866.66666667 , 4376.41025641 , 4024.1025641 , 1747.0 , 1755.0 , 4.164 , 0.0 , 0.0 , 0.0 , 0.0 , 

30.0 , 4528.71794872 , 3988.71794872 , 4326.66666667 , 4338.97435897 , 4225.12820513 , 4080.51282051 , 4210.25641026 , 4113.33333333 , 4261.02564103 , 4519.48717949 , 4346.66666667 , 3861.53846154 , 4375.8974359 , 4021.02564103 , 1741.0 , 1749.0 , 4.172 , 0.0 , 0.0 , 0.0 , 0.0 , 

31.0 , 4551.79487179 , 4006.66666667 , 4306.66666667 , 4313.33333333 , 4255.38461538 , 4123.58974359 , 4230.76923077 , 4137.94871795 , 4270.76923077 , 4514.87179487 , 4343.07692308 , 3891.79487179 , 4380.0 , 4021.53846154 , 1740.0 , 1744.0 , 4.18 , 0.0 , 0.0 , 0.0 , 0.0 , 

32.0 , 4556.41025641 , 4002.05128205 , 4279.48717949 , 4305.12820513 , 4240.51282051 , 4114.87179487 , 4222.05128205 , 4166.66666667 , 4269.23076923 , 4507.17948718 , 4348.71794872 , 3918.46153846 , 4391.28205128 , 4020.51282051 , 1738.0 , 1738.0 , 4.188 , 0.0 , 0.0 , 0.0 , 0.0 , 

33.0 , 4602.05128205 , 4065.12820513 , 4326.15384615 , 4338.46153846 , 4260.51282051 , 4160.51282051 , 4243.58974359 , 4161.02564103 , 4273.33333333 , 4504.61538462 , 4355.8974359 , 3905.12820513 , 4401.53846154 , 4022.05128205 , 1740.0 , 1729.0 , 4.196 , 0.0 , 0.0 , 0.0 , 0.0 , 

34.0 , 4635.38461538 , 4120.51282051 , 4385.12820513 , 4373.33333333 , 4280.51282051 , 4192.82051282 , 4267.69230769 , 4148.71794872 , 4283.58974359 , 4510.76923077 , 4360.51282051 , 3870.76923077 , 4401.53846154 , 4027.17948718 , 1739.0 , 1719.0 , 4.202 , 0.0 , 0.0 , 0.0 , 0.0 , 

35.0 , 4580.0 , 4074.35897436 , 4376.92307692 , 4410.76923077 , 4241.02564103 , 4128.20512821 , 4240.0 , 4172.30769231 , 4287.69230769 , 4521.53846154 , 4364.1025641 , 3858.46153846 , 4391.79487179 , 4031.79487179 , 1736.0 , 1714.0 , 4.211 , 0.0 , 0.0 , 0.0 , 0.0 , 

36.0 , 4496.41025641 , 3982.56410256 , 4327.69230769 , 4482.05128205 , 4166.66666667 , 4019.48717949 , 4187.69230769 , 4207.69230769 , 4288.20512821 , 4527.17948718 , 4367.69230769 , 3873.84615385 , 4381.53846154 , 4045.64102564 , 1734.0 , 1710.0 , 4.218 , 0.0 , 0.0 , 0.0 , 0.0 , 

37.0 , 4483.07692308 , 3955.8974359 , 4310.25641026 , 4512.82051282 , 4124.61538462 , 3963.58974359 , 4159.48717949 , 4198.97435897 , 4285.64102564 , 4526.15384615 , 4364.61538462 , 3877.94871795 , 4377.94871795 , 4050.25641026 , 1731.0 , 1706.0 , 4.227 , 0.0 , 0.0 , 0.0 , 0.0 , 

38.0 , 4520.51282051 , 3986.66666667 , 4311.28205128 , 4447.17948718 , 4113.33333333 , 3969.74358974 , 4154.87179487 , 4156.41025641 , 4276.41025641 , 4526.15384615 , 4359.48717949 , 3846.66666667 , 4377.94871795 , 4026.15384615 , 1729.0 , 1701.0 , 4.235 , 0.0 , 0.0 , 0.0 , 0.0 , 

39.0 , 4535.8974359 , 3994.35897436 , 4304.61538462 , 4379.48717949 , 4117.94871795 , 4002.56410256 , 4157.43589744 , 4146.66666667 , 4269.23076923 , 4527.69230769 , 4358.46153846 , 3832.30769231 , 4377.94871795 , 4005.64102564 , 1723.0 , 1698.0 , 4.243 , 0.0 , 0.0 , 0.0 , 0.0 , 

40.0 , 4527.69230769 , 3978.46153846 , 4288.20512821 , 4370.25641026 , 4146.15384615 , 4040.0 , 4165.64102564 , 4173.84615385 , 4274.87179487 , 4527.17948718 , 4361.02564103 , 3857.94871795 , 4377.94871795 , 4006.66666667 , 1718.0 , 1694.0 , 4.25 , 0.0 , 0.0 , 0.0 , 0.0 , 

41.0 , 4522.05128205 , 3964.1025641 , 4268.71794872 , 4355.38461538 , 4174.35897436 , 4054.35897436 , 4177.94871795 , 4180.51282051 , 4274.87179487 , 4526.66666667 , 4361.53846154 , 3891.79487179 , 4375.8974359 , 4004.1025641 , 1712.0 , 1694.0 , 4.258 , 0.0 , 0.0 , 0.0 , 0.0 , 

42.0 , 4516.41025641 , 3952.82051282 , 4264.61538462 , 4320.51282051 , 4211.28205128 , 4061.53846154 , 4192.82051282 , 4155.38461538 , 4265.12820513 , 4526.15384615 , 4359.48717949 , 3895.38461538 , 4375.8974359 , 3997.43589744 , 1716.0 , 1696.0 , 4.266 , 0.0 , 0.0 , 0.0 , 0.0 , 

43.0 , 4497.94871795 , 3931.28205128 , 4294.87179487 , 4321.02564103 , 4261.53846154 , 4072.82051282 , 4208.71794872 , 4141.53846154 , 4262.56410256 , 4526.15384615 , 4356.92307692 , 3880.51282051 , 4379.48717949 , 4000.51282051 , 1722.0 , 1695.0 , 4.274 , 0.0 , 0.0 , 0.0 , 0.0 , 

44.0 , 4482.56410256 , 3930.25641026 , 4314.87179487 , 4351.28205128 , 4279.48717949 , 4066.15384615 , 4212.30769231 , 4153.84615385 , 4267.17948718 , 4525.64102564 , 4356.41025641 , 3868.71794872 , 4379.48717949 , 4006.66666667 , 1721.0 , 1697.0 , 4.282 , 0.0 , 0.0 , 0.0 , 0.0 , 

45.0 , 4488.20512821 , 3951.28205128 , 4314.87179487 , 4378.46153846 , 4246.15384615 , 4032.30769231 , 4200.51282051 , 4168.20512821 , 4267.69230769 , 4525.64102564 , 4359.48717949 , 3875.38461538 , 4374.87179487 , 4012.82051282 , 1714.0 , 1701.0 , 4.289 , 0.0 , 0.0 , 0.0 , 0.0 , 

46.0 , 4506.15384615 , 3958.97435897 , 4301.53846154 , 4386.15384615 , 4205.64102564 , 4005.64102564 , 4180.0 , 4163.07692308 , 4265.12820513 , 4525.64102564 , 4361.02564103 , 3875.8974359 , 4375.38461538 , 4016.41025641 , 1709.0 , 1706.0 , 4.297 , 0.0 , 0.0 , 0.0 , 0.0 , 

47.0 , 4503.07692308 , 3961.02564103 , 4323.58974359 , 4394.87179487 , 4187.17948718 , 4001.02564103 , 4178.97435897 , 4150.76923077 , 4266.15384615 , 4525.64102564 , 4360.51282051 , 3871.79487179 , 4377.43589744 , 4016.92307692 , 1711.0 , 1708.0 , 4.305 , 0.0 , 0.0 , 0.0 , 0.0 , 

48.0 , 4496.92307692 , 3999.48717949 , 4372.82051282 , 4400.51282051 , 4180.0 , 4032.30769231 , 4191.79487179 , 4140.51282051 , 4264.1025641 , 4525.64102564 , 4357.94871795 , 3853.33333333 , 4373.84615385 , 4013.84615385 , 1713.0 , 1709.0 , 4.313 , 0.0 , 0.0 , 0.0 , 0.0 , 

49.0 , 4523.58974359 , 4030.25641026 , 4363.07692308 , 4388.20512821 , 4143.58974359 , 4061.02564103 , 4183.07692308 , 4142.05128205 , 4262.56410256 , 4525.64102564 , 4355.8974359 , 3836.92307692 , 4371.79487179 , 4010.25641026 , 1715.0 , 1707.0 , 4.321 , 0.0 , 0.0 , 0.0 , 0.0 , 

50.0 , 4557.43589744 , 4011.79487179 , 4301.02564103 , 4400.0 , 4109.23076923 , 4033.33333333 , 4150.76923077 , 4152.82051282 , 4269.23076923 , 4525.64102564 , 4356.92307692 , 3841.53846154 , 4373.84615385 , 4016.41025641 , 1713.0 , 1703.0 , 4.328 , 0.0 , 0.0 , 0.0 , 0.0 , 

51.0 , 4543.07692308 , 3975.38461538 , 4291.79487179 , 4438.46153846 , 4138.97435897 , 3981.53846154 , 4143.07692308 , 4160.51282051 , 4275.38461538 , 4525.64102564 , 4360.0 , 3861.02564103 , 4375.8974359 , 4030.76923077 , 1709.0 , 1700.0 , 4.335 , 0.0 , 0.0 , 0.0 , 0.0 , 

52.0 , 4503.58974359 , 3955.38461538 , 4324.1025641 , 4434.87179487 , 4200.51282051 , 3986.66666667 , 4168.71794872 , 4158.46153846 , 4268.20512821 , 4525.64102564 , 4358.97435897 , 3861.53846154 , 4375.8974359 , 4025.64102564 , 1703.0 , 1693.0 , 4.343 , 0.0 , 0.0 , 0.0 , 0.0 , 

53.0 , 4484.1025641 , 3942.56410256 , 4328.20512821 , 4390.25641026 , 4227.69230769 , 4025.12820513 , 4190.25641026 , 4160.51282051 , 4261.53846154 , 4525.64102564 , 4355.8974359 , 3854.35897436 , 4377.94871795 , 4005.12820513 , 1702.0 , 1687.0 , 4.352 , 0.0 , 0.0 , 0.0 , 0.0 , 

54.0 , 4486.15384615 , 3945.12820513 , 4331.28205128 , 4365.12820513 , 4235.8974359 , 4044.61538462 , 4199.48717949 , 4161.02564103 , 4263.07692308 , 4525.64102564 , 4354.87179487 , 3867.17948718 , 4378.97435897 , 3997.43589744 , 1710.0 , 1684.0 , 4.359 , 0.0 , 0.0 , 0.0 , 0.0 , 

