Counter	AF3	F7	F3	FC5	T7	P7	O1	O2	P8	T8	FC6	F4	F8	AF4	GyroX	GyroY	Timestamp	FUNC_ID	FUNC_VALUE	MARKER	SYNC_SIGNAL	CMS_Q	DRL_Q	AF3_Q	F7_Q	F3_Q	FC5_Q	T7_Q	P7_Q	O1_Q	O2_Q	P8_Q	T8_Q	FC6_Q	F4_Q	F8_Q	AF4_Q
17.000000	4344.615385	4386.666667	4402.051282	3715.897436	4369.743590	4607.692308	4624.102564	4523.589744	4022.564103	4101.538462	4502.564103	4432.820513	4265.641026	3952.307692	1728.000000	1680.000000	55.350000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18.000000	4347.179487	4388.717949	4403.076923	3716.923077	4371.282051	4607.179487	4622.051282	4522.564103	4022.051282	4104.102564	4503.076923	4432.307692	4267.179487	3955.897436	1728.000000	1681.000000	55.365000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19.000000	4343.076923	4388.205128	4406.666667	3716.410256	4374.871795	4607.692308	4622.564103	4520.512821	4024.102564	4102.564103	4501.025641	4430.256410	4264.615385	3953.846154	1729.000000	1680.000000	55.365000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20.000000	4343.589744	4386.666667	4405.641026	3713.846154	4371.282051	4609.743590	4625.128205	4523.589744	4025.641026	4101.538462	4502.564103	4431.282051	4266.666667	3953.846154	1729.000000	1681.000000	55.381000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21.000000	4343.589744	4386.153846	4404.102564	3712.307692	4368.717949	4609.230769	4627.179487	4527.692308	4022.564103	4103.076923	4504.102564	4431.282051	4264.615385	3953.333333	1729.000000	1680.000000	55.381000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22.000000	4345.128205	4389.230769	4405.128205	3714.871795	4371.282051	4608.205128	4625.128205	4523.589744	4025.641026	4104.102564	4503.589744	4432.307692	4265.641026	3955.897436	1729.000000	1680.000000	55.381000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23.000000	4344.102564	4387.179487	4406.666667	3715.384615	4373.846154	4608.205128	4626.153846	4522.564103	4024.102564	4102.051282	4501.538462	4430.256410	4262.564103	3951.794872	1730.000000	1679.000000	55.397000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24.000000	4346.666667	4387.692308	4404.102564	3714.871795	4371.282051	4608.717949	4627.692308	4523.076923	4021.025641	4101.538462	4505.641026	4430.256410	4265.641026	3953.846154	1729.000000	1679.000000	55.412000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
25.000000	4343.589744	4386.153846	4402.564103	3713.333333	4370.256410	4607.692308	4629.743590	4523.076923	4022.564103	4102.564103	4504.615385	4430.769231	4263.589744	3952.307692	1728.000000	1679.000000	55.412000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26.000000	4345.128205	4386.666667	4404.102564	3716.923077	4370.769231	4608.717949	4626.153846	4520.512821	4026.666667	4102.051282	4504.102564	4432.820513	4266.153846	3950.769231	1729.000000	1677.000000	55.428000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
27.000000	4345.128205	4389.743590	4406.153846	3716.410256	4371.282051	4606.153846	4623.076923	4523.076923	4025.641026	4100.512821	4503.076923	4429.743590	4265.641026	3952.820513	1728.000000	1677.000000	55.428000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28.000000	4345.641026	4389.743590	4402.564103	3712.307692	4372.820513	4605.641026	4623.589744	4524.102564	4025.128205	4101.538462	4504.615385	4429.743590	4266.666667	3957.948718	1729.000000	1676.000000	55.428000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
